x,y,token,model
-3.932046,-0.19192797,case,Rating > 6
2.108154,-2.613902,architecture,Rating > 6
-0.39262742,-0.24302211,many,Rating > 6
-3.3085847,0.4374673,deep,Rating > 6
3.7493365,-0.307945,table,Rating > 6
-3.6831706,0.7981601,make,Rating > 6
-0.26371953,-0.51534784,class,Rating > 6
-3.0182273,-0.11316837,un,Rating > 6
3.1934628,0.8576542,point,Rating > 6
1.239927,-1.0844789,related,Rating > 6
1.6308185,-3.3389857,evaluation,Rating > 6
-1.2631384,-0.22569752,may,Rating > 6
-2.6223803,-2.3404493,empirical,Rating > 6
-2.7973955,-0.03213603,space,Rating > 6
-2.837024,-0.74319124,understand,Rating > 6
6.2747116,0.9109361,overall,Rating > 6
-2.3988032,3.93616,n,Rating > 6
0.6266883,-1.0232857,graph,Rating > 6
-1.520853,0.7644688,much,Rating > 6
-0.69368404,1.0104717,pro,Rating > 6
-0.5695913,-1.6607553,policy,Rating > 6
-1.489342,-3.1277416,proposes,Rating > 6
-2.3144536,0.32512155,non,Rating > 6
-2.2588227,-0.7191919,compared,Rating > 6
-1.7011168,-1.0994375,provide,Rating > 6
-1.2878841,-2.05685,comparison,Rating > 6
